IV_STYLEID,IV_STYLE
00302394,71500XL PL
00302395,65939
00302396,70446-8
00302397,70502
00302398,70885XL PL
00302399,71549-1XL PL
00302400,70941XL PL
00302401,68977-1XL PLUS
00302402,70446-1XL PLUS
00302403,71388-1XL PL
00302404,71517XL PLUS
00302405,69888XL PL
00302406,71067-2
00302407,69900
00302408,65881
00302409,67573-8
00302410,71583
00302411,68822
00302412,71550-1XL PL
00302413,68277
00302414,71497
00302415,71044
00302416,61612XL
00302417,71610
00302418,71636-1
00302419,71390
00302420,71449
00302421,70675
00302422,69362
00302423,70813
00302424,71314
00302425,70886XL
00302426,70696XL
00302427,71284
00302428,71660
00302429,70850-1
00302430,70975-2
00302431,68822XL
00302432,71283XL
00302433,71689XL
00302434,71374
00302435,71505
00302436,71266
00302437,71290
00302438,71283
00302439,71746
00302440,71688-1
00302441,70747-4
00302442,70844-1
00302443,71378
00302444,67225
00302445,71172
00302446,71745
01901252,CTB313J WHT*
01901253,JA4007 MA/BLK*
01901254,CTB521L BLK
01901255,CTB521L MED
01901256,CTB631VX BLK
01901257,CTB167JX DRK
01901258,TO5105X BLK
01901259,TO5105X WHT
01901260,JA4054X BLK
01901261,CTB663X
01901262,CTB559SKX BLK
01901263,CTB559SKX DRK
01901264,CTB664SK LGT
01901265,CTB664SK BLK
01901266,CTB664SK DRK
01901267,CTB559SK BLK*
01901268,CTB559SK MED*
01901269,CTB321J MED
01901271,TO5105 BLK
01901272,CTB593S BLK
01901273,CTB668 BLK
01901274,CTB613SX MED
01901275,CTB581SX MED
01901276,CTB582LSX MED
01901277,CTB582LSX BLK
01901278,CTB667X BLK
01901279,CTB667X DRK
01901280,CTB321J WHT**
01901281,CTB614S LGT
01901282,CTB194S LGT*
01901283,CTB613S LGT*
01901284,CTB686LS LGT
01901285,CTB576S MED*
01901286,CTB194S MED*
01901287,CTB686LS MED
01901288,CTB624 BLK
01901289,CTB622L MED*
01901290,TR175S MED
01901291,CTB622LX MED
01901292,CTB613S MED
01901293,CTB631VX LGT
01901294,JA4054X RED
01901295,CTB664SK MED
01901296,CTB547 MED*
01901297,CTB623X BLK*
01901298,CTB313JX BLK*
01901299,CTB613SX LGT
01901300,CTB513J BLK
01901301,CTB474J LGT
02502956,A010 PINK***
02502957,A010 BRN**
02502958,A011P OAT***
02502959,A010P OAT***
02502960,A011P BRO***
02502961,A010P BRO***
02502962,T9340B
02502963,A010P PINK**
02502964,A010P BEIGE*
02502965,A010P MINT***
02502966,STA3321B
02502967,STA2529B
02502968,A011 MUST**
02502969,CC0352R
02502970,A010 BURG
02502971,A011P MUST*
02502972,A011 BLK****
02502973,A010 BLK****
02502974,A010 PEON****
02502975,A010 RED****
02502976,A011 CHAR***
02502977,A011 PEON****
02502978,A010P BLK*
02502979,A010P CHAR****
02502980,A010P WHT*****
02502981,A011 STRA****
02502982,A011 NAVY****
02502983,A011 WHT****
02502984,A010 WHT****
02502985,A010 CHAR***
02502986,A010 H.GY****
02502987,A010 OAT***
02502988,A011P WHT*****
02502989,A011P BLK*****
02502990,A011P BRN****
02502991,A011P CHAR****
02502992,A011P OAT****
02502993,A011P H.GY***
02502994,A010P OAT****
02502995,A010P H.GY****
02502996,A010P BRN****
02502997,A010 D.LILAC***
02600722,5J1413
02600793,5J431
02600949,P0117-1
02700604,D1318X
02800105,23046
03000057,3894
03600135,712
03600321,P397B PLUS
03601273,J344B PLUS
00401830,9728JUX
00401831,3433TX
00401832,3700JAX
00401833,3495TX
00401834,3674TX
00401835,3732TX
00401836,3733TX
00401837,3899TX
00401838,4060JAX
00401839,3025T*
00500350,TT4109
00600051,606
00700853,ALICE-52 BK
00700965,LULA-75 NUSU
00701079,LANNEKY-2 CAME
00701153,CLEMENCE-66 BK
00701168,VICE-85 CHMP
00701171,JOVIE-11 WHT
00701218,LARISA-39 CHMP
00701246,TURNUP-03 BKPU
00701268,SEED-H BKPU
00701318,STACY-02 BK
00701324,ONTINA BKNB
00701337,ROSALIE-31 BK
00701347,DASH-09 NUDE
00701348,ERICKA-04
00701359,MASSEN STNB
00701367,DRAFT LTAU
00701383,OBJECT-S BKBK
00701453,SAKE-10 CASU
00701500,PAMELA-73 NUSU
00701535,MIXI-59 BKNB
00701536,DATE-H DBEG
00701537,STEPPUP-03 BKSU
00701538,GLEE-81 BKSN
00701539,ATHENA-838 BKSU
00701543,ANGIE-07 GOLD
00701553,RAYKA-07 BKSN
00701560,INTRO-13 GOLD
00701569,EFFIE-06 BLPU
00701881,RENLEY-03 BK
00701882,RENLEY-03 BNE
00701883,KICKBACK-01 WH
00701884,RAISE-5 BK
00701885,CLAIRE-50 TAN
00800041,571-9 PLUS
00900001,VM1347
01100129,3230
01101202,RT1205V
01101698,RT250219
01101830,XT21002 PLUS *
01101900,RP50795
00203832,T13062
00203833,T11755
00203834,T11756
00203835,T11757
00203836,T13138
00203837,SW71709
00203838,SW72445
00203839,J71758**
00203840,T71757*
00203841,J72524*
00203842,T10034
00203843,SW11710***
00203844,J11758*
00203845,SW72227
00203846,J7069
00203847,J72027
00203848,J7482XL**
00203849,J73272
00203850,T12325
00203851,SW72603
00203852,T71755
00203853,SW71045 CHAR
00203854,5477XL***
00203855,T12713
00203856,P7287
00203857,T12781
00203858,T11713
00203859,T11863*
00203860,T10368***
00203861,T12713*
00203862,T11756*
00203863,T11755*
00203864,5745-1XL***
00203865,5745-2XL***
00203866,5745-3XL***
00203867,T13175
00203868,D12731*
00203869,5150
00203870,SW11710****
00203871,T10071****
00203872,T1427
00203873,T1490
00203874,T71756**
00203875,T71757**
00203876,P11558**
00203877,P3584*****
00203878,T11757*
00203879,T6671
00203880,T72783*
00203881,J11758**
00203882,T12717*
00203883,T12759*
00203884,T12783*
00100001,T037
00100002,MT956-910
00100003,P026WING
00100004,XT956-910
00100005,MT956-910* BLK
00100006,MT956-910 H.GY
00100007,T006CROSS
00100008,L21C.WING
00100009,XP026WING
00100010,T035WING
00100011,P026FLO
00100012,T006WING
00100013,MT956-911
00100014,L23WING
00100015,XT006WING
00100016,L23WING*
00100017,MT956-910 H.GY*
00100018,MT956-910 BLK*
00100019,L21C.WING*
00100020,XT956-910*
00100021,XP026WING*
00100022,P026WING*
00100023,P026FLO*
00100024,T035WING*
00100025,MT956-910 BLK**
00100026,MT956-910 BRW
00100027,L21C.WING**
00100028,XL21CROSS
00100029,D042CROSS
00100030,T006WING*
00100031,T006CROSS*
00100032,P034W.CROSS
00100033,XP034W.CROSS
00100034,XT956WING
00100035,XT04-910
00100036,T045CROSS
00100037,MT956-910 WHT
00100038,MT956-910 PIK
00100039,MT956-910 YEL
00100040,T047WING
00200024,8258
00202232,5003 ????X
00202513,T3193
00202514,D3098
00202559,T3258
00202564,T3138
00202698,5008 PLUS
00202700,5003 PLUS
00202802,T3237
00202803,P2103
00202805,P3710
00202811,T3879
00202830,T3909
00202841,P3956
00303414,73364XL***
00303415,73112XL***
00303416,73633XL**
00303417,74105-1*
00303418,75113
00303419,72505*
00303420,73340
00303421,73443XL
00303422,73054***
00303423,74971-1
00303424,63000
00303425,63000XL
00303426,73845*
00303427,74950
00303428,73364**
00303429,75777 BK
00303430,75776 BK
00303431,73454*
00303432,75358
00303433,75229
00303434,74958
00303435,75777 DESR
00303436,75777 H GY
00303437,75777 M GRN
00303438,75776 H GY
00303439,75260
00303440,73232-3
00303441,73232-2
00303442,73341XL***
00303443,75776 DES
00303444,75490
00303445,75776 MILITARY
00303446,75192
00303447,75411
00303448,75791
00303449,75657XL
00303450,75770
00303451,75402XL
00303452,75657
00303453,74250*
00303454,73940*
00303455,74683
00303456,73210***
00303457,71121-5
00303458,71121-5XL
00303459,74660*
00303460,75504
00303461,74351**
00303462,75762
00303463,75775
00303464,74792XL*
00303465,75646
00303466,75486
00303467,73619**
00303468,74486XL
01103411,RT52631**
01103412,RT22280**
01103413,RT52516**
01103414,XP52006**
01103415,XP52313
01103416,XT73112*
01103417,ST71168*
01103418,RT67678**
01103419,RT42225**
01103420,RT62435**
01103421,RT62819*
01103422,RT32540**
01103423,RT1205**
01103424,RT1205V**
01103425,RT52191
01103426,RT52166*
01103427,RP1015**
01103428,SM71115L
01103429,RD67981**
01103430,RP52006**
01103431,ST61906*
01103432,ST61703*
01103433,RT50401**
01103434,RT52188**
01103435,SP61269**
01103436,SM71115*
01103437,RT67642**
01103438,RT12034L**
01103439,RT62365**
01103440,RT68380*
01103441,XSP61269**
01103442,RT62500**
01103443,SM71051*
01103444,XT62854*
01103445,XD52133
01103446,XT52191**
01103447,XT71401*
01103448,RT12034**
01103449,RD52133 **
01103450,XD22084G **
01103451,RT62807*
01103452,RP52105**
01103453,XP50794**
01103454,RP50794
01103455,ST71692
01103456,SP71360*
01103457,RT72037*
01103458,RT52529**
01103459,RT62501 **
01103460,RT62812 **
01103461,RT1004**
01103462,XT1004L **
03602636,PA300 PINK
03602637,J416 MA.CHAR
03602638,T140 CLOU*
03602639,J416 MINT
03602640,JK928 BLK
03602641,JK928 LT H GY
03602642,JK928 MINT
03602643,JK928 WHT
03602644,J415 NAVY**
03602645,PA550 D PURP*
03602646,H101 PINK
03602647,PA550 PINK
03602648,PA550 A.GRN
03602649,J415B TAN
03602650,J416B BLACK**
03602651,J416B LT H GY*
03602652,J416B FD PK
03602653,J416B M CHAR*
03602654,JK300B L H GY
03602655,P100S LT.STONE
03602656,J415 MA.BLACK**
03602657,PA571 WHT
03602658,H101 WHT
03602659,JU300 CHAR*
03602660,J416B NAVY*
03602661,H903 BLK
03602662,H903 LT H GY
03602663,JK928 PINK
03602664,JK928 BLUE
03602665,JK928 CHAR
03602666,JK345 BLK
03602667,JK345 PINK
03602668,JK345 M CHAR
03602669,JK345 D NAVY
03602670,PA550 SALMON*
03602671,J416 D BLUE*
03602672,JK928 LT STONE
03602673,J415 STRAW
03602674,JK225B NAVY
03602675,JK300B F PINK
03602676,PA570B NAVY
03602677,PA290B FOREST
03602678,JK290B FOREST
03602679,PA300 WHT
03602680,JK300 B.YELL
03602681,JU300 TAN
03602682,JU300 PLUM
03602683,PA803 CHAR
03602684,J416 NAVY*
03602685,PA550 L.STONE
03605259,PA1503 B.PIK
03605260,T2003 MAR
03605261,PA250 RED****
03605262,PA250 B PNK****
03605263,JK354 D NVY*
03605264,T238 BK*
03605265,T080 LT GY**
03605266,T080 L.YELLO
03605267,T080 RED
03605268,JK224 R BLUE*
03605269,JK326 CHAR
03605270,JU250 B PNK
03605271,JK565B BLK
03605272,JK565B C.GRE
03605273,JK565B H.GY
03605274,JK565B RED
03605275,T050B BK***
03605276,T050B BEG**
03605277,T050B C.GRE*
03605278,T050B LT.GY***
03605279,T050B D.NAVY**
03605280,J415B BLK*
03605281,J415B BURG**
03605282,J415B CHOCO
03605283,J415B D.NAY****
03605284,J415B L.GRY*
03605285,PA1503 C.GRE**
03605286,PA1503 LT GY**
03605287,PA1503 FOSS**
03605288,PA1503 BLK**
03605289,JK550 D BL**
03605290,T050 RED****
03605291,T050 BEG***
03605292,J416 CHOCO***
03605293,J416 BK********
03605294,J416 H.GY*
03605295,J416 RED******
03605296,PA407 BLK****
03605297,PA407 LT GY**
03605298,PA407 B PIK**
03605299,T050 I GY*****
03605300,JK224 D.NAVY*
03605301,JK224 BGE***
03605302,JK220 D NAVY***
03605303,JK220 BEG****
03605304,T1012 R.BLUE*
03605305,T1012 I.GY*
03605306,T050 D NAY***
03605307,JK481 BEG***
03605308,JK481 BLK***
03605309,JK481 I GY***
03605310,JK344 B PIK*
01104331,RT18101R
01104332,XST71063***
01104333,RT52191*
01104334,ST61577***
01104335,HM18109**
01104336,HT12103R
01104337,RT78436*
01104338,RT32675R
01104339,RT67678****
01104340,RT63221R
01104341,HT28083
01104342,ST71533
01104343,XT52588*****
01104344,XT50822***
01104345,ST81259
01104346,RT70268***
01104347,RT73053***
01104348,XSP61234*****
01104349,XHT13662R
01104350,HT12420
01104351,HT13662R
01104352,XSP61269******
01104353,RD78872*
01104354,ST81133**
01104355,RT1010*
01104356,RT1200*
01104357,HT28115R
01104358,HT12105
01104359,RT50822***
01104360,SP71360****
01104361,RP73860**
01104362,XP78759**
01104363,XST61923*
01104364,XST61576*
01104365,HT28116R
01104366,RD68827***
01104367,RT82675LR
01104368,RT73853
01104369,RT63927****
01104370,RP73861
01104371,HT18857
01104372,HT11642R
01104373,HT11738R
01104374,HT12252
01104375,RT52588******
01104376,HT12158
01104377,RD81151*
01104378,XT78304L***
01104379,RT62632
01104380,RT93575R
01104381,RT52833**
01104382,ST81158**
01104383,HT11719R
03604383,JK390 C GRN
03604384,PA407 D NAVY
03604385,PA407 BGE
03604386,JK550 FOSL
03604387,J415 H.GRY*****
03604388,J415B BLK
03604389,T275 I.GRY
03604390,T275 IR.GY
03604391,T275 C.GREEN
03604392,T275 BEG
03604393,JK326 BEG
03604394,JK390 BEG
03604395,PA770 C GREEN
03604396,PA770 MAR
03604397,JK220 CHAR
03604398,JK255 CRM
03604399,JK550 RED
03604400,JK126 BEG
03604401,JK255 BEG
03604402,JK729 BLK*
03604403,JK729 IC GY*
03604404,JK729 CREAM*
03604405,JK220 C GRN*
03604406,JK220 I GRY*
03604407,JK220 BEG*
03604408,JK220 BLK*
03604409,T015B D NVY*
03604410,T868B BLK**
03604411,PA407 BLK*
03604412,PA407 BGE*
03604413,PA407 CHAR*
03604414,PA407 I GY
03604415,PA407 LT GY
03604416,PA550 BLK
03604417,PA550 LT GY
03604418,PA550 IC GRY*
03604419,PA903S CHAR*
03604420,PA903S LT GY*
03604421,PA044S BEIGE*
03604422,PA044S BLK*
03604423,PA044S ICE.GY*
03604424,PA044S LT.GY*
03604425,PA250 BEG**
03604426,JK550 BLK
03604427,JK550 BEG**
03604428,JK550 RED*****
03604429,T866 BLK****
03604430,JK354 BLK*
03604431,JK354 BGE*
03604432,JK354 I GY*
03604433,JK224 BGE*
03604434,T869 BLUE*
04500194,IT4059 PLUS
04500195,IT4039
04500196,IT4048 PLUS
04500197,IT4053 PLUS
04500198,IT4058 PLUS
04500199,IT4041 PLUS
04500200,IT4028-1 PLUS
04500201,IT4001-1
04500202,IT4043
04500203,IT4054 PLUS
04500204,IT4084 PLUS
04500205,IT4005
04500206,IT4049 PLUS
04500207,IT4055 PLUS
04500208,IT4079 PLUS
04500209,IT4097 PLUS
04500210,ITJS4077 PLUS
04500211,IT4050 PLUS
04500212,IT4062 PL
04500213,IT4094 PL
04500214,IT4119 PL
04500215,ITD4087 PL
04500216,ITJS4096 PL
04500217,IT4100 PLUS
04500218,ITD4081 PLUS
04500219,IT4075 PLUS
04500220,IT4091 PLUS
04500221,ITD4092 PLUS
04500222,IT4117
04500223,ITJS4129
04500224,ITJS4135
04500225,TD10025 PLUS
04500226,IT4113 PL
04500227,IT4114 PL
04500228,IT4132 PL
04500229,ITD4134
04500230,IT4112 PLUS
04500231,IT4158 PLUS
04500232,ITD4108 PLUS
04500233,T10028 PLUS
04500234,IT4110 PLUS
04500235,IT4148 PLUS
04500236,IT4149 PLUS
04500237,TJ3838*
04500238,ITJ4109
04500239,TD10026 PL
04500240,TD10030 PL
04500241,ITD4088 PL
04500242,TD10027 PL
04500243,IT4133 PL
04500244,IT4144 PL
03603532,J416 BE.PINK
03603533,PA550 D.OLIVE
03603534,JK227 BLK*
03603535,T866B
03603536,T529
03603537,JK227 LT.GREY
03603538,PA030B
03603539,PA030B BLK
03603540,PA030B CHA
03603541,PA030B CHO
03603542,JK227 PINK*
03603543,JK227 CHOCO*
03603544,JK227 CREAM
03603545,JK227 WHT
03603546,PA044 BLK
03603547,PA044 LT GRY
03603548,PA044 KHA
03603549,JK858
03603550,T868 BLK
03603551,T868 CREAM
03603552,T868 LT.GREY
03603553,T868 PINK
03603554,JK866 ASST*
03603555,T866 BLK*
03603556,T866 LT GY*
03603557,T866 CREAM*
03603558,T866 PINK*
03603559,T866 NAVY*
03603560,T866 BURG
03603561,T866 H GRN
03603562,JK858 BLK
03603563,T868 CREAM*
03603564,T868 LT.GREY*
03603565,JU529
03603566,T866 WHT*
03603567,JK250 BLK
03603568,JK250 BURG
03603569,JK250 LT GY**
03603570,JK250 PINK*
03603571,JK250 CHOCO**
03603572,JK250 H GRN*
03603573,JK227 BLK**
03603574,JK227 BURG
03603575,JK227 LT.GY*
03603576,JK227 PINK**
03603577,JK227 CHOCO**
03603578,JK227 H GRN*
03603579,JK250 CREAM
03603580,PA250 RED
03603581,PA030 D.NAVY
03603582,JK998 IVO
03603583,JK915 BEG
05501104,930434VT035
05501105,930749MW211
05501106,930677SD019
05501107,910946MI133
05501108,910946MC006
05501109,93869SD030
05501110,910676DK366*
05501111,D30305CK434
05501112,H30300CB005
05501113,H30230FU035
05501114,930677SD010
05501115,92836PU050
05501116,930837FU036
05501117,930434SD021
05501118,930583SD023
